Country,CO2,Population,Happiness,Code,Year,Life Expectancy,SPM,Percentage of all deaths caused by air pollution
Somalia,31190568.0,16537016.0,5146832099969.799,SOM,2019.0,57.1,0.72,17.29
South Africa,19787369762.0,58801927.0,335000000000.0,ZAF,2019.0,66.2,1.51,6.41
South Korea,15786618228.0,51844690.0,5146832099969.799,KOR,2019.0,83.7,4.57,7.03
South Sudan,29721727.0,10606227.0,5146832099969.799,SSD,2019.0,55.9,0.57,13.25
Spain,14136085452.0,47363807.0,1280000000000.0,ESP,2019.0,83.5,0.88,2.69
Sri Lanka,436284059.0,21715079.0,80676681934.0,LKA,2019.0,76.0,3.26,10.1
Sudan,353794293.0,44440486.0,21329109522.0,SDN,2019.0,65.9,1.0,15.95
Suriname,104379605.0,607065.0,2884248048.0,SUR,2019.0,72.2,3.31,6.89
Sweden,4858725461.0,10368969.0,541000000000.0,SWE,2019.0,83.1,1.46,0.81
Switzerland,2918791195.0,8638613.0,5146832099969.799,CHE,2019.0,83.8,1.68,2.31
Syria,1762385573.0,20772595.0,5146832099969.799,SYR,2019.0,71.8,0.38,11.61
Taiwan,8050965637.0,23821464.0,5146832099969.799,TWN,2019.0,80.7,2.32,6.58
Tajikistan,287463210.0,9543207.0,5146832099969.799,TJK,2019.0,70.9,0.95,15.94
Tanzania,203638082.0,61704518.0,5146832099969.799,TZA,2019.0,67.0,0.91,13.91
Thailand,7013231542.0,71475664.0,502000000000.0,THA,2019.0,79.0,1.43,7.89
Timor,4729566.0,33501070.952991452,5146832099969.799,TLS,2019.0,68.3,0.81,16.66
Togo,62673116.0,8442580.0,7574636979.0,TGO,2019.0,60.9,1.1,14.8
Tonga,3965652.0,105254.0,5146832099969.799,TON,2019.0,70.9,0.73,7.99
Trinidad and Tobago,1455796378.0,1518147.0,21588037505.0,TTO,2019.0,74.2,1.31,7.24
Tunisia,808028626.0,12161723.0,5146832099969.799,TUN,2019.0,76.0,0.61,10.72
Turkey,9602486274.0,84135428.0,720000000000.0,TUR,2019.0,77.8,0.57,9.45
Turkmenistan,2183172085.0,6250438.0,5146832099969.799,TKM,2019.0,69.0,1.31,10.86
Tuvalu,256923.0,11069.0,5146832099969.799,TUV,2019.0,64.3,1.76,3.41
Uganda,95059160.0,44404611.0,37600368181.0,UGA,2019.0,63.0,0.89,13.58
Ukraine,25796386297.0,43909666.0,5146832099969.799,UKR,2019.0,74.5,1.96,6.17
United Arab Emirates,4154728973.0,9287289.0,5146832099969.799,ARE,2019.0,79.7,2.28,12.42
